Variable;TD Mean (95% CI);ASD Mean;β (SE);t/z-stats;p;R2
Gender ;29 boys, 6 girls;28 boys, 4 girls;0.37 (0.7);0.53;0.6;0.01
Age (months);20.27 (19.78 20.93);32.98 (31.03 34.74);12.79 (0.98);13.09;<0.001;0.72
MSEL-EL;Raw scores: 19.89 (18.4 21.76);Raw scores: 17.56 (15.29 20.3);-2.32 (1.53);-1.52;0.13;0.03
MSEL-VR;Raw scores: 26 (24.83 27.09);Raw scores: 26.91 (14.94 28.79);0.91 (1.11);0.82;0.4;0.01
ADOS Mod1 – total score;0.83 (0.43 1.34);14.12 (12.84 15.47);13.3 (0.7);18.42;<0.001;0.84
Child word tokens;252.8 (194.1 331.05);192.25 (126.83 280.61);-60.55 (50.01);-1.21;0.23;0.02
Child word types;55.09 (42.53 70.65);51.19 (33.72 72.08);-3.9 (11.78);-0.33;0.74;0.02
Child MLU;1.38 (1.3   1.46);1.36 (1.2   1.59);-0.02 (0.1);-0.19;0.85;0
Father’s education (years past 8th grade);8.27 (7.39-9.21);7.53 (6.59-8.5);0.74 (0.67);t-stat: 1.11;0.271;0.02
Mother’s education (years past 8th grade);7.91 (7.23-8.53);7.89 (6.86-8.91);0.02 (0.6);t-stat: 0.031;0.975;0
